filename,vulnerability,ground_truth,smartcheck_flagged,status,duration_s,exit_status
16521.sol,timestamp,0,0,TN,1.42,OK
1667.sol,timestamp,0,0,TN,1.49,OK
1668.sol,timestamp,0,0,TN,1.48,OK
16957.sol,timestamp,0,0,TN,1.47,OK
176.sol,timestamp,0,0,TN,1.59,OK
177.sol,timestamp,0,0,TN,1.61,OK
17806.sol,timestamp,0,0,TN,1.59,OK
17816.sol,timestamp,0,0,TN,1.41,OK
1824.sol,timestamp,0,0,TN,1.47,OK
1825.sol,timestamp,0,0,TN,1.44,OK
1851.sol,timestamp,0,0,TN,1.49,OK
19294.sol,timestamp,0,0,TN,1.48,OK
19692.sol,timestamp,0,0,TN,1.45,OK
20888.sol,timestamp,0,0,TN,1.48,OK
20930.sol,timestamp,0,0,TN,1.53,OK
21162.sol,timestamp,0,0,TN,1.45,OK
22155.sol,timestamp,0,0,TN,1.52,OK
22256.sol,timestamp,0,0,TN,1.64,OK
22272.sol,timestamp,0,0,TN,1.64,OK
22734.sol,timestamp,0,0,TN,1.52,OK
2397.sol,timestamp,0,0,TN,1.59,OK
28101.sol,timestamp,0,0,TN,1.51,OK
29084.sol,timestamp,0,0,TN,1.48,OK
29409.sol,timestamp,0,0,TN,1.52,OK
30343.sol,timestamp,0,0,TN,1.54,OK
30507.sol,timestamp,0,0,TN,1.39,OK
30813.sol,timestamp,0,0,TN,1.52,OK
30815.sol,timestamp,0,0,TN,1.52,OK
30925.sol,timestamp,0,0,TN,1.53,OK
30939.sol,timestamp,0,0,TN,1.55,OK
30963.sol,timestamp,0,0,TN,1.7,OK
30976.sol,timestamp,0,0,TN,1.44,OK
31551.sol,timestamp,0,0,TN,1.45,OK
3185.sol,timestamp,0,0,TN,1.48,OK
31867.sol,timestamp,0,0,TN,1.54,OK
31892.sol,timestamp,0,0,TN,1.46,OK
33217.sol,timestamp,0,0,TN,1.55,OK
33575.sol,timestamp,0,0,TN,1.47,OK
33638.sol,timestamp,0,0,TN,1.44,OK
33711.sol,timestamp,0,0,TN,1.4,OK
33974.sol,timestamp,0,0,TN,1.54,OK
34068.sol,timestamp,0,0,TN,1.49,OK
34272.sol,timestamp,0,0,TN,1.44,OK
34442.sol,timestamp,0,0,TN,1.47,OK
34575.sol,timestamp,0,0,TN,1.49,OK
34725.sol,timestamp,0,0,TN,1.56,OK
35257.sol,timestamp,0,0,TN,1.47,OK
35268.sol,timestamp,0,0,TN,1.53,OK
35285.sol,timestamp,0,0,TN,1.48,OK
35322.sol,timestamp,0,0,TN,1.65,OK
35358.sol,timestamp,0,0,TN,1.7,OK
3554.sol,timestamp,0,0,TN,1.58,OK
3555.sol,timestamp,0,0,TN,1.52,OK
35551.sol,timestamp,0,0,TN,1.58,OK
35897.sol,timestamp,0,0,TN,1.54,OK
36451.sol,timestamp,0,0,TN,1.42,OK
3654.sol,timestamp,0,0,TN,1.46,OK
36737.sol,timestamp,0,0,TN,1.47,OK
36852.sol,timestamp,0,0,TN,1.52,OK
37017.sol,timestamp,0,0,TN,1.51,OK
37274.sol,timestamp,0,0,TN,1.6,OK
37390.sol,timestamp,0,0,TN,1.48,OK
37514.sol,timestamp,0,0,TN,1.52,OK
37683.sol,timestamp,0,0,TN,1.51,OK
37684.sol,timestamp,0,0,TN,1.54,OK
3772.sol,timestamp,0,0,TN,1.57,OK
38096.sol,timestamp,0,0,TN,1.5,OK
38239.sol,timestamp,0,0,TN,1.48,OK
38421.sol,timestamp,0,0,TN,1.47,OK
38709.sol,timestamp,0,0,TN,1.53,OK
38727.sol,timestamp,0,0,TN,1.52,OK
38888.sol,timestamp,0,0,TN,1.42,OK
38925.sol,timestamp,0,0,TN,1.53,OK
38983.sol,timestamp,0,0,TN,1.56,OK
39091.sol,timestamp,0,0,TN,1.51,OK
39095.sol,timestamp,0,0,TN,1.59,OK
39114.sol,timestamp,0,0,TN,1.42,OK
39425.sol,timestamp,0,0,TN,1.51,OK
3952.sol,timestamp,0,0,TN,1.55,OK
39559.sol,timestamp,0,0,TN,1.5,OK
39583.sol,timestamp,0,0,TN,1.47,OK
39631.sol,timestamp,0,0,TN,1.57,OK
39845.sol,timestamp,0,0,TN,1.64,OK
40154.sol,timestamp,0,0,TN,1.48,OK
40155.sol,timestamp,0,0,TN,1.52,OK
40252.sol,timestamp,0,0,TN,1.58,OK
40419.sol,timestamp,0,0,TN,1.58,OK
40497.sol,timestamp,0,0,TN,1.59,OK
40535.sol,timestamp,0,0,TN,1.46,OK
40539.sol,timestamp,0,0,TN,1.53,OK
40587.sol,timestamp,0,0,TN,1.47,OK
40665.sol,timestamp,0,0,TN,1.51,OK
40735.sol,timestamp,0,0,TN,1.42,OK
40737.sol,timestamp,0,0,TN,1.6,OK
40739.sol,timestamp,0,0,TN,1.56,OK
40740.sol,timestamp,0,0,TN,1.58,OK
40741.sol,timestamp,0,0,TN,1.55,OK
40742.sol,timestamp,0,0,TN,1.54,OK
40743.sol,timestamp,0,0,TN,1.57,OK
40744.sol,timestamp,0,1,FP,1.5,OK
40747.sol,timestamp,0,0,TN,1.45,OK
40756.sol,timestamp,0,0,TN,1.51,OK
419.sol,timestamp,0,0,TN,1.42,OK
42.sol,timestamp,0,0,TN,1.39,OK
4587.sol,timestamp,0,0,TN,1.43,OK
4588.sol,timestamp,0,0,TN,1.44,OK
4717.sol,timestamp,0,0,TN,1.45,OK
4882.sol,timestamp,0,0,TN,1.57,OK
4922.sol,timestamp,0,0,TN,1.43,OK
496.sol,timestamp,0,0,TN,1.4,OK
4993.sol,timestamp,0,0,TN,1.46,OK
50001.sol,timestamp,0,0,TN,1.49,OK
50221.sol,timestamp,0,0,TN,1.57,OK
5132.sol,timestamp,0,0,TN,1.51,OK
5259.sol,timestamp,0,0,TN,1.45,OK
578.sol,timestamp,0,0,TN,1.55,OK
6149.sol,timestamp,0,0,TN,1.49,OK
6199.sol,timestamp,0,0,TN,1.47,OK
6272.sol,timestamp,0,0,TN,1.5,OK
6348.sol,timestamp,0,0,TN,1.52,OK
650.sol,timestamp,0,0,TN,1.46,OK
6534.sol,timestamp,0,0,TN,1.53,OK
711.sol,timestamp,0,0,TN,1.38,OK
737.sol,timestamp,0,0,TN,1.38,OK
738.sol,timestamp,0,0,TN,1.5,OK
740.sol,timestamp,0,0,TN,1.48,OK
798.sol,timestamp,0,0,TN,1.49,OK
8025.sol,timestamp,0,0,TN,1.54,OK
8026.sol,timestamp,0,0,TN,1.49,OK
8099.sol,timestamp,0,0,TN,1.5,OK
8141.sol,timestamp,0,0,TN,1.45,OK
8826.sol,timestamp,0,0,TN,1.42,OK
9428.sol,timestamp,0,0,TN,1.5,OK
9560.sol,timestamp,0,0,TN,1.47,OK
9820.sol,timestamp,0,0,TN,1.41,OK
1014.sol,timestamp,1,0,FN,1.43,OK
10146.sol,timestamp,1,0,FN,1.45,OK
10295.sol,timestamp,1,0,FN,1.5,OK
10369.sol,timestamp,1,0,FN,1.58,OK
1057.sol,timestamp,1,0,FN,1.57,OK
10736.sol,timestamp,1,0,FN,1.54,OK
11064.sol,timestamp,1,0,FN,1.39,OK
1115.sol,timestamp,1,0,FN,1.39,OK
11243.sol,timestamp,1,0,FN,1.53,OK
11457.sol,timestamp,1,0,FN,1.36,OK
1182.sol,timestamp,1,0,FN,1.42,OK
1183.sol,timestamp,1,0,FN,1.52,OK
11931.sol,timestamp,1,0,FN,1.5,OK
1226.sol,timestamp,1,0,FN,1.48,OK
12292.sol,timestamp,1,0,FN,1.44,OK
12321.sol,timestamp,1,0,FN,1.5,OK
12393.sol,timestamp,1,0,FN,1.48,OK
12465.sol,timestamp,1,0,FN,1.41,OK
12466.sol,timestamp,1,0,FN,1.55,OK
1284.sol,timestamp,1,0,FN,1.45,OK
12841.sol,timestamp,1,0,FN,1.51,OK
1288.sol,timestamp,1,0,FN,1.5,OK
12894.sol,timestamp,1,0,FN,1.4,OK
12898.sol,timestamp,1,0,FN,1.47,OK
12919.sol,timestamp,1,0,FN,1.65,OK
12998.sol,timestamp,1,0,FN,1.45,OK
1318.sol,timestamp,1,0,FN,1.46,OK
1319.sol,timestamp,1,0,FN,1.44,OK
13293.sol,timestamp,1,0,FN,1.41,OK
13371.sol,timestamp,1,0,FN,1.48,OK
13413.sol,timestamp,1,0,FN,1.52,OK
13723.sol,timestamp,1,0,FN,1.46,OK
13780.sol,timestamp,1,0,FN,1.44,OK
13993.sol,timestamp,1,0,FN,1.47,OK
1404.sol,timestamp,1,0,FN,1.55,OK
1445.sol,timestamp,1,0,FN,1.82,OK
14711.sol,timestamp,1,0,FN,1.69,OK
14872.sol,timestamp,1,0,FN,1.49,OK
14928.sol,timestamp,1,0,FN,1.52,OK
15038.sol,timestamp,1,0,FN,1.53,OK
1532.sol,timestamp,1,0,FN,1.52,OK
1533.sol,timestamp,1,0,FN,1.53,OK
15641.sol,timestamp,1,1,TP,1.69,OK
15930.sol,timestamp,1,0,FN,1.72,OK
16407.sol,timestamp,1,0,FN,1.63,OK
169.sol,timestamp,1,0,FN,1.65,OK
16979.sol,timestamp,1,0,FN,1.61,OK
170.sol,timestamp,1,0,FN,1.67,OK
17401.sol,timestamp,1,0,FN,1.57,OK
1813.sol,timestamp,1,0,FN,1.56,OK
18975.sol,timestamp,1,0,FN,1.72,OK
19182.sol,timestamp,1,0,FN,1.72,OK
1954.sol,timestamp,1,0,FN,1.5,OK
19714.sol,timestamp,1,0,FN,1.58,OK
20057.sol,timestamp,1,0,FN,1.84,OK
20259.sol,timestamp,1,0,FN,1.71,OK
2051.sol,timestamp,1,0,FN,1.78,OK
211.sol,timestamp,1,0,FN,1.63,OK
212.sol,timestamp,1,0,FN,1.55,OK
21393.sol,timestamp,1,0,FN,1.46,OK
21404.sol,timestamp,1,0,FN,1.37,OK
21890.sol,timestamp,1,0,FN,1.61,OK
2252.sol,timestamp,1,0,FN,1.55,OK
2253.sol,timestamp,1,0,FN,1.71,OK
2379.sol,timestamp,1,0,FN,1.83,OK
2399.sol,timestamp,1,0,FN,1.48,OK
2563.sol,timestamp,1,0,FN,1.39,OK
2688.sol,timestamp,1,0,FN,1.16,OK
27455.sol,timestamp,1,0,FN,1.25,OK
2777.sol,timestamp,1,0,FN,1.27,OK
28359.sol,timestamp,1,0,FN,1.13,OK
28383.sol,timestamp,1,0,FN,1.15,OK
29131.sol,timestamp,1,0,FN,1.26,OK
30060.sol,timestamp,1,0,FN,1.18,OK
30396.sol,timestamp,1,0,FN,1.12,OK
30772.sol,timestamp,1,0,FN,1.13,OK
31758.sol,timestamp,1,0,FN,1.14,OK
318.sol,timestamp,1,0,FN,1.16,OK
31812.sol,timestamp,1,0,FN,1.18,OK
31999.sol,timestamp,1,0,FN,1.23,OK
32007.sol,timestamp,1,0,FN,1.18,OK
32175.sol,timestamp,1,0,FN,1.11,OK
339.sol,timestamp,1,0,FN,1.11,OK
3434.sol,timestamp,1,0,FN,1.23,OK
347.sol,timestamp,1,0,FN,1.08,OK
34995.sol,timestamp,1,0,FN,1.17,OK
3543.sol,timestamp,1,0,FN,1.14,OK
36661.sol,timestamp,1,0,FN,1.1,OK
3702.sol,timestamp,1,0,FN,1.13,OK
37155.sol,timestamp,1,0,FN,1.13,OK
37221.sol,timestamp,1,0,FN,1.14,OK
3729.sol,timestamp,1,0,FN,1.17,OK
37559.sol,timestamp,1,0,FN,1.26,OK
37672.sol,timestamp,1,0,FN,1.18,OK
37679.sol,timestamp,1,0,FN,1.15,OK
37919.sol,timestamp,1,0,FN,1.18,OK
37920.sol,timestamp,1,0,FN,1.29,OK
38392.sol,timestamp,1,0,FN,1.15,OK
38684.sol,timestamp,1,0,FN,1.15,OK
38947.sol,timestamp,1,0,FN,1.15,OK
39715.sol,timestamp,1,0,FN,1.23,OK
400.sol,timestamp,1,0,FN,1.26,OK
40005.sol,timestamp,1,0,FN,1.21,OK
40059.sol,timestamp,1,0,FN,1.17,OK
40239.sol,timestamp,1,0,FN,1.25,OK
40451.sol,timestamp,1,0,FN,1.34,OK
40611.sol,timestamp,1,0,FN,1.33,OK
40726.sol,timestamp,1,0,FN,1.22,OK
40727.sol,timestamp,1,0,FN,1.29,OK
40733.sol,timestamp,1,0,FN,1.19,OK
40736.sol,timestamp,1,0,FN,1.23,OK
40738.sol,timestamp,1,0,FN,1.25,OK
40745.sol,timestamp,1,1,TP,1.17,OK
40746.sol,timestamp,1,0,FN,1.17,OK
40748.sol,timestamp,1,0,FN,1.17,OK
40750.sol,timestamp,1,0,FN,1.17,OK
40751.sol,timestamp,1,0,FN,1.21,OK
40753.sol,timestamp,1,0,FN,1.17,OK
40754.sol,timestamp,1,0,FN,1.21,OK
40755.sol,timestamp,1,0,FN,1.2,OK
40757.sol,timestamp,1,0,FN,1.19,OK
4225.sol,timestamp,1,0,FN,1.16,OK
44.sol,timestamp,1,0,FN,1.17,OK
4467.sol,timestamp,1,0,FN,1.22,OK
4474.sol,timestamp,1,0,FN,1.15,OK
4523.sol,timestamp,1,0,FN,1.19,OK
4524.sol,timestamp,1,0,FN,1.18,OK
4590.sol,timestamp,1,0,FN,1.28,OK
4926.sol,timestamp,1,0,FN,1.18,OK
49728.sol,timestamp,1,0,FN,1.26,OK
50062.sol,timestamp,1,0,FN,1.25,OK
50063.sol,timestamp,1,0,FN,1.24,OK
50215.sol,timestamp,1,0,FN,1.17,OK
50216.sol,timestamp,1,0,FN,1.27,OK
50217.sol,timestamp,1,0,FN,1.22,OK
50219.sol,timestamp,1,0,FN,1.26,OK
50222.sol,timestamp,1,0,FN,1.18,OK
5142.sol,timestamp,1,0,FN,1.29,OK
5143.sol,timestamp,1,0,FN,1.21,OK
5164.sol,timestamp,1,0,FN,1.24,OK
5339.sol,timestamp,1,0,FN,1.24,OK
538.sol,timestamp,1,0,FN,1.18,OK
5934.sol,timestamp,1,0,FN,1.16,OK
595.sol,timestamp,1,0,FN,1.19,OK
5975.sol,timestamp,1,0,FN,1.24,OK
6220.sol,timestamp,1,0,FN,1.28,OK
625.sol,timestamp,1,0,FN,1.2,OK
626.sol,timestamp,1,0,FN,1.24,OK
6369.sol,timestamp,1,0,FN,1.27,OK
649.sol,timestamp,1,0,FN,1.25,OK
6578.sol,timestamp,1,0,FN,1.35,OK
666.sol,timestamp,1,0,FN,1.21,OK
6929.sol,timestamp,1,0,FN,1.22,OK
7134.sol,timestamp,1,0,FN,1.21,OK
7330.sol,timestamp,1,0,FN,1.26,OK
739.sol,timestamp,1,0,FN,1.2,OK
7419.sol,timestamp,1,0,FN,1.25,OK
7570.sol,timestamp,1,0,FN,1.2,OK
7593.sol,timestamp,1,0,FN,1.21,OK
797.sol,timestamp,1,0,FN,1.21,OK
8342.sol,timestamp,1,0,FN,1.17,OK
84.sol,timestamp,1,0,FN,1.24,OK
8606.sol,timestamp,1,0,FN,1.19,OK
883.sol,timestamp,1,0,FN,1.12,OK
911.sol,timestamp,1,0,FN,1.15,OK
9208.sol,timestamp,1,0,FN,1.24,OK
9230.sol,timestamp,1,0,FN,1.16,OK
9377.sol,timestamp,1,0,FN,1.22,OK
9379.sol,timestamp,1,0,FN,1.16,OK
948.sol,timestamp,1,0,FN,1.24,OK
9654.sol,timestamp,1,0,FN,1.24,OK
9850.sol,timestamp,1,0,FN,1.2,OK
9918.sol,timestamp,1,0,FN,1.13,OK
